# Astellar visual asset catalog v1
# hash	name	category
0029f004	ProfileIcon1010035_L	头像
0033e74a	WallPaper0133_1	大厅壁纸
0036ff61	ProfileIcon1011036_L	头像
003bf3c7	ProtectorIcon1072008_2	卡套
0047a169	CoinTossIcon1180024	硬币
006076c0	ProfileFrame1030016	头像框
00a287b4	ProfileIcon1012016_L	头像
00b3d6ed	ProfileIcon1010070_L	头像
00cc6767	DeckCase1009_Open_L	卡盒
00d863b4	ProfileFrame1030006_L	头像框
00fc30c6	ProtectorIcon1071028	卡套
010c487b	ProfileIcon1010130_L	头像
0114db5d	WallPaper0007_2	大厅壁纸
011a0983	ProfileFrame1030007_L	头像框
012c3383	DeckCase2007	卡盒
013bf446	DeckCase0032_Open_L	卡盒
01508660	ProfileIcon1012029_L	头像
0185a708	DeckCase2023_L	卡盒
01c3f00d	ProfileIcon1010054	头像
01e131da	ProfileIcon1012025	头像
01fa6340	DeckCase2005_L_reverse	卡盒
02188c66	ProfileIcon1011069_L	头像
0288195d	DeckCase0015_Open_L	卡盒
0290f728	ProfileIcon1011005	头像
029edded	ProfileFrame1030005_L	头像框
02b589d8	ProfileFrameCommonEfTex006_r8_	头像框
02b589d8	ProfileFrameCommonEfTex016_r8	头像框
02baadf5	DeckCase0008_Open_L	卡盒
02d26a87	ProfileIcon1010142	头像
030529e5	DeckCase1011_L_reverse	卡盒
0305340c	ProfileIcon1011012_L	头像
030a5806	WallPaper0055_1	大厅壁纸
035cb7da	ProfileFrame1030004_L	头像框
036a9fcc	ProfileIcon1011053_L	头像
03801d80	ProfileIcon1010054_L	头像
03aa511b	WallPaper0085_1	大厅壁纸
040591b0	DeckCase0008_L_reverse	卡盒
040943ea	DeckCase0021_L_reverse	卡盒
0418c900	ProtectorIcon1070095	卡套
041be015	WallPaper0054_2	大厅壁纸
047f1abc	ProfileIcon1011021_L	头像
04bbe908	WallPaper0084_2	大厅壁纸
04ebdee3	ProfileIcon1011058_L	头像
04fa3330	ProfileIcon1010067_L	头像
05087720	ProfileIcon1011040	头像
050a615a	CoinTossIcon1180015	硬币
0519df37	ProfileIcon1011067_L	头像
0549a46f	DeckCase0023_L	卡盒
054aea8f	ProfileIcon1010107	头像
055b329e	DeckCase1009_Open_L	卡盒
0585cc5e	DeckCase0026_L_reverse	卡盒
05977531	ProfileFrame1030001_L	头像框
05a053dc	WallPaper2005_3	大厅壁纸
05a68d19	DeckCase0023	卡盒
05d66162	DeckCase2030_Open_L	卡盒
05d84dc1	ProfileFrameCommonDist001	头像框
05d84dc1	ProfileFrameCommonEfTex011_r8_	头像框
05d84dc1	ProfileFrameEfTex1031015_01	头像框
